cluster_id,cluster_size,avg_confidence,min_confidence,max_confidence,confidence_range,user_decision,decision_label,company_names,company_ids
1323,2,0.5976666666666666,0.5976666666666666,0.5976666666666666,0.0,1,APPROVED,Conma Industries Pty Ltd | Conmar Industries Pty Ltd,01b77372-8d0b-4956-8874-7583e4e35679 | c35b59ff-9fb9-4409-98ef-9a2d546db076
3810,2,0.5954166666666666,0.5954166666666666,0.5954166666666666,0.0,1,APPROVED,99 Camry-$290 WDSM | 99 Camry-$290,0501a270-bb13-11ee-b7c3-e3fe29dbf4a2 | bb20e9e0-c9a4-11ee-8dbe-e9f1a3aad9c2
4766,2,0.5979166666666667,0.5979166666666667,0.5979166666666667,0.0,1,APPROVED,Venture Metals Intl | Venture Metals,063b3155-f3be-4e5c-b098-713f52b62151 | 5b2a9ed1-ee84-4b83-bbc7-c1afb7a12d32
5502,2,0.5979166666666667,0.5979166666666667,0.5979166666666667,0.0,1,APPROVED,Age Rigging | New Age Rigging,07318380-9227-11ef-ac7f-29b3aea1efa7 | 56e637b0-9621-11ef-8841-9fe6abc137b2
10392,2,0.5991666666666666,0.5991666666666666,0.5991666666666666,0.0,1,APPROVED,03 Suburban-$675 | 03 Suburban-$675 Gray,0db59290-d875-11ed-bb18-8f86ef0e8269 | e2b7bd50-cf02-11ed-9ace-e797d67983af
11445,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.0,1,APPROVED,EMCON SERVICES - BROOKS | EMCON SERVICES,0f0d5391-cf3b-4c12-b8e7-3be38b388987 | 5c183f8f-bdb9-470b-83cd-f31e97da763d
18529,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.0,1,APPROVED,Kirby Risk | Kirby Risk -Indy,183e1a1f-4adf-4845-bad2-b65184d0c59b | f3882d6b-7644-4875-8894-011f26690dde
19037,2,0.5934166666666667,0.5934166666666667,0.5934166666666667,0.0,1,APPROVED,Corbin Hufcor Inc | Corbin-Hufcor ,18eaaf5f-bec1-4daf-9c47-e27cffbb3c21 | b4f28bd8-65d5-439e-bac0-cb3f4448c236
22894,2,0.5954166666666666,0.5954166666666666,0.5954166666666666,0.0,1,APPROVED,Burns Ford Inc. | Burns Ford,1e1b77fa-5659-4bc6-a831-05328aeb64db | 953a912b-94ce-4538-b5d0-c4cd540da359
23329,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.0,1,APPROVED,97 Lesabre-$245 | 97 Lesabre-$245 Huxley,1eb13f80-475c-11ee-bcfe-a1ea10e4cd30 | 8012db20-428f-11ee-a571-c7ef146c8f76
24620,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.0,1,APPROVED,Waste Management | Waste Management Sanford,206d45ec-6041-4778-b3ff-395364ccc7d6 | 752fda26-9f99-49d9-b06b-e3fcce911e65
26782,2,0.5941666666666666,0.5941666666666666,0.5941666666666666,0.0,1,APPROVED,California  Auto Parts | California  Auto Parts & Auto Dismantler,236540a4-59bc-4daf-8cf2-34794e374666 | 8faa5ed6-6429-47a4-99af-e83ad7a3607a
30344,2,0.5991666666666666,0.5991666666666666,0.5991666666666666,0.0,1,APPROVED,Metro Direct Ltd | Metro Direct,28286ef0-2b96-11ec-9bf3-4be79aed09b8 | b486cbe0-2cad-11ec-99d6-d18a0bf7d926
31159,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.0,1,APPROVED,06 Sebring-$425  | 06 Sebring-$425 Gretna,29557fe0-8abb-11ed-95e2-53c71f1ae91f | e683a620-7e34-11ed-bb3d-d16a51d94e86
38284,2,0.5991666666666666,0.5991666666666666,0.5991666666666666,0.0,1,APPROVED,Hawks Auto & Truck Recycling  | Hawks Auto & Truck,330af610-d0d2-11ee-ac45-5f7b2908f782 | b8826c10-3cce-11f0-8d40-8d7ef236cad9
45895,2,0.5929166666666666,0.5929166666666666,0.5929166666666666,0.0,1,APPROVED,Puebla Tire Shop | Puebla Tire,3d4c5f2f-d716-4d2f-84e5-21b5787b8b30 | a520c4d9-5776-4af8-8221-f8587eae7cb7
46076,2,0.5954166666666666,0.5954166666666666,0.5954166666666666,0.0,1,APPROVED,Everson Cordage Works | Everson Cordage,3d8beeb6-fa53-4e79-8528-1d40d76401eb | e5774932-c756-4f95-ba99-3e7a48750b51
49830,2,0.5966666666666666,0.5966666666666666,0.5966666666666666,0.0,1,APPROVED,Midwest Industrial Metals | Midwest Industrial,429c82a0-c193-11ed-9c1e-8fcd91e80a8c | 7bd9d650-952f-11ef-9cb4-071ef3d414d1
52413,2,0.5929166666666666,0.5929166666666666,0.5929166666666666,0.0,1,APPROVED,02 Trailblazer-$450 L | 02 Trailblazer $450 L Friday,463668f0-472f-11ee-9be5-4bf3c49a6300 | d17463d0-476c-11ee-921a-b3180a7dddcb
53624,2,0.5986666666666666,0.5986666666666666,0.5986666666666666,0.0,1,APPROVED,Jeffrey'S Jewelry Design Studio | Jefrey'S Jewelry Design Studio,47e91518-0b05-47a2-b250-5a46711d5eb7 | ffd3e8c9-746b-40e5-909c-7302b8c8fb2e
56075,2,0.5971666666666666,0.5971666666666666,0.5971666666666666,0.0,1,APPROVED,"Bj's Tire & Rubber Recycling, Inc. | B.J. USed Tire & Rubber Recycling, Inc.",4b81d157-ed03-4fb4-af7f-aea6d276791a | 87ded27c-3859-4575-a650-e11cecc73148
62134,2,0.5929166666666666,0.5929166666666666,0.5929166666666666,0.0,1,APPROVED,"05 F250 $800 | 05 F250 $800, Bell",541a0c80-ab0a-11ee-acb5-9ba3642bb357 | cce24710-ab0d-11ee-8572-5ffc8308e3f1
65072,2,0.5926666666666666,0.5926666666666666,0.5926666666666666,0.0,1,APPROVED,"DisposAll Waste Services LLC | DO NOT USE
DisposAll Waste Services, LLC",5840884b-1349-4463-889e-ac7a2bd04177 | ab65cb02-bbe5-4bd1-a677-d85616751632
66442,2,0.5929166666666666,0.5929166666666666,0.5929166666666666,0.0,1,APPROVED,Orange Lake Farm | Orange Lake ,5a2033b0-e1db-11ec-85c1-c385dbf9ad80 | 5d6fb010-e38c-11ec-adfd-4d7c3936d958
69427,2,0.5991666666666666,0.5991666666666666,0.5991666666666666,0.0,1,APPROVED,97 Explorer $550 | 97 Explorer $550 (S145),5e530b30-64f1-11ed-aee9-c1465cb29d3e | e34448f0-7639-11ed-8216-cb0abf36d136
71284,2,0.5926666666666666,0.5926666666666666,0.5926666666666666,0.0,1,APPROVED,DEFENSE IRON & METAL CORP | DEFENCE IRON & METAL CORP,60eff960-85b1-11ef-98c7-59d6997afc25 | b1c06c00-85b4-11ef-a18d-b73c77f660f2
74640,2,0.5929166666666666,0.5929166666666666,0.5929166666666666,0.0,1,APPROVED,Auto Express/Jesus Antonio Garcia-Tavizon | Jesus Antonio Garcia-Tavizon,65ac2ddb-f30a-43d2-9863-ef8c58482ae4 | 6f5fa956-49ad-42e5-9333-727e680892d3
75975,2,0.5939166666666666,0.5939166666666666,0.5939166666666666,0.0,1,APPROVED,99 Suburban LOT Eagle | 99 Suburban-$475 LOT Eagle,6795b290-4071-11ee-bf3d-d5222ca41c96 | a6df2cb0-4071-11ee-9ba0-9f195e7e57de
80512,2,0.5954166666666666,0.5954166666666666,0.5954166666666666,0.0,1,APPROVED,Palmer Gas | Palmer Gas & Oil,6e5131c8-a013-4f09-8d5b-37c7e9540e84 | 8ca2fb2b-56d8-49fb-bc39-7da7892b2787
89237,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.0,1,APPROVED,BERNARD GIBEAU | BERNARD GIBEAU REPAIR,7ab0a4e6-f786-44ed-9f2f-d260f2af39cf | bdd60ce6-eb3a-4b8d-9dba-7ec8024d51e8
90081,2,0.5989166666666667,0.5989166666666667,0.5989166666666667,0.0,1,APPROVED,"05 Grand Prix-$425 LOT Waverly | 05 grand prix $425, waverly ",7be99ab0-0c53-11ee-b20c-67d8bc7339ad | f013f650-0baa-11ee-ab00-0b6bfbe73653
90155,2,0.5966666666666666,0.5966666666666666,0.5966666666666666,0.0,1,APPROVED,Hodges Collision | Keith Hodges Collision,7c03be10-4a94-11ef-bedd-e5f8b04342a7 | 97b9ec30-5663-11ef-a872-03bebaf6a85c
90237,2,0.5979166666666667,0.5979166666666667,0.5979166666666667,0.0,1,APPROVED,Western Equipment | Western Equipment - Metal,7c227aea-21d7-4856-8148-b269a80133fb | dbb2ab46-3b26-43b6-91fd-4caff22d17d3
95506,2,0.5991666666666666,0.5991666666666666,0.5991666666666666,0.0,1,APPROVED,Bench Garage | Bench Garage Llc,83d44c35-f27d-4def-89e2-03782744bb9d | c6f8ddea-2165-4ced-9a68-689ad8788179
102296,2,0.5984166666666667,0.5984166666666667,0.5984166666666667,0.0,1,APPROVED,LKQ Best Automotive Corp | LKQ Corportation - Best Automotive Corp,8da91390-0e08-11ef-bdbf-1520ffe562d9 | b4192e70-5011-11ef-91eb-9be0872c806a
130912,2,0.5991666666666666,0.5991666666666666,0.5991666666666666,0.0,1,APPROVED,RUSTYS TRANSPORT - SELL | RUSTYS TRANSPORT,b83ffd00-27b1-11ee-a382-e97b3ae4b518 | d7faea1c-57e0-462b-8bec-91c9b2ac0d03
134691,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.0,1,APPROVED,Interstate Batteries | Interstate Batteries Recycling,bde7c157-0b67-47ad-b003-a5d68bd9d0ca | f081f6f6-e2d5-4a32-b5e3-ff2fa91cbd88
138432,2,0.5954166666666666,0.5954166666666666,0.5954166666666666,0.0,1,APPROVED,01 MPV-$290 | 01 MPV-$290 Dsm,c378af90-d761-11ee-bd26-15ee3dd807f3 | d7bd04d0-da4d-11ee-b025-97ca41772a75
144680,2,0.5941666666666666,0.5941666666666666,0.5941666666666666,0.0,1,APPROVED,CARSTAR Monmouth Collision | Monmouth Collision,ccd8ba85-4697-4629-9408-9fc6aac9bf7b | f5361b20-b36d-4446-891d-a85b1885e37d
